Model	K_groups	PseudoBIC	Separation	DeltaBIC
M1_6pop	6	577.5810299747353	12.113922956264938	0.0
M2_NorthMerge	5	654.5500571570266	4.705843744019087	76.96902718229126
M3_SierraMerge	4	765.0529783563156	0.7631899796502185	187.47194838158032
M4_ThreeSpecies	3	776.2358358230114	0.5011455010070511	198.65480584827606
M5_CoastVsInland	2	787.818347035967	0.2728445660848034	210.2373170612317
