	North	North_Coast	Sierra_1	Sierra_2	Sierra_3	South_Coast
North	NA	0.401444	0.756492	0.689196	0.391063	0.681963
North_Coast	0.401444	NA	0.698269	0.611055	0.353203	0.56681
Sierra_1	0.756492	0.698269	NA	0.554458	0.670724	0.843352
Sierra_2	0.689196	0.611055	0.554458	NA	0.601399	0.776877
Sierra_3	0.391063	0.353203	0.670724	0.601399	NA	0.595651
South_Coast	0.681963	0.56681	0.843352	0.776877	0.595651	NA
