	North	North_Coast	Sierra_1	Sierra_2	Sierra_3	South_Coast
North	NA	0.221914153731214	0.372240239781002	0.343687839725436	0.231058606734989	0.297232994903274
North_Coast	0.221914153731214	NA	0.345394379212256	0.318447756999456	0.241128552966474	0.257172913544116
Sierra_1	0.372240239781002	0.345394379212256	NA	0.167442424272614	0.369447092376901	0.370562329804136
Sierra_2	0.343687839725436	0.318447756999456	0.167442424272614	NA	0.340823122812472	0.346183297289468
Sierra_3	0.231058606734989	0.241128552966474	0.369447092376901	0.340823122812472	NA	0.312679065866515
South_Coast	0.297232994903274	0.257172913544116	0.370562329804136	0.346183297289468	0.312679065866515	NA
