Population	N_individuals	Loci_callable	Segregating_sites	Mean_MAF	Singleton_fraction	Doubleton_fraction	Rare_MAF_le_0_10	Common_MAF_ge_0_30	Pi_per_site	ThetaW_per_site	TajimasD_ascertained	Mean_Fis	Demographic_signal
North	19	12103	6267	0.149958216163216	0.277644806127334	0.160044678474549	0.522099888303814	0.187490027126217	0.115502054598912	0.123240479948291	-0.238109246650925	0.165778104056317	Mixed/weak signal
North_Coast	14	11742	5836	0.213494710110543	0.184886908841672	0.117032213845099	0.301919122686772	0.315627141877999	0.150615010007309	0.127720614325634	0.709951076772084	0.101789466212757	Contraction/bottleneck signal
Sierra_1	15	11755	2687	0.181644595944931	0.377372534425009	0.106438407145515	0.505768515072572	0.314477112020841	0.0584018507140103	0.0576990300348618	0.0477155041489409	0.167921926820456	Mixed/weak signal
Sierra_2	12	11751	3869	0.195577512002945	0.298009821659343	0.134660118893771	0.432669940553114	0.279400361850607	0.0924701581680595	0.0881689534981084	0.198055006037845	0.0390980881290002	Mixed/weak signal
Sierra_3	31	12176	7959	0.166560268864306	0.157431838170624	0.101143359718558	0.447920593039327	0.205679105415253	0.1582715982389	0.140174647958743	0.463774910641238	0.071068801849345	Mixed/weak signal
South_Coast	8	10903	1826	0.226940228446253	0.346111719605696	0.0969331872946331	0.346111719605696	0.407447973713034	0.055138855152613	0.0504717551374849	0.406212345432026	0.333156924613661	Contraction/structure signal
