	North	North_Coast	Sierra_1	Sierra_2	Sierra_3	South_Coast
North	0	0.044278	0.040385	0.027429	0.016489	0.200768
North_Coast	0.044278	0	0.054629	0.021589	0.026041	0.177671
Sierra_1	0.040385	0.054629	0	0.020613	0.029985	0.26856
Sierra_2	0.027429	0.021589	0.020613	0	0.010417	0.244797
Sierra_3	0.016489	0.026041	0.029985	0.010417	0	0.248918
South_Coast	0.200768	0.177671	0.26856	0.244797	0.248918	0
