MVZ206289	South_Coast
MVZ227430	South_Coast
MVZ231861	South_Coast
MVZ232173	South_Coast
MVZ239688	South_Coast
MVZ240832	South_Coast
MVZ240837	South_Coast
MVZ241098	South_Coast
MSB259148	North
MSB261737	North
MSB269732	North
MSB269776	North
MSB269806	North
MSB281100	North
MSB311857	North
MSB43525	North
MSB83485	North
MVZ217504	North
MVZ223024	Sierra_3
MVZ223025	North
MVZ223028	North
UAM101701	North
UAM41739	North
UAM93314	North
MVZ221535	Sierra_2
MVZ221743	Sierra_2
MVZ224676	Sierra_2
MVZ232190	Sierra_2
MVZ191515	North_Coast
MVZ191548	North_Coast
MVZ191565	North_Coast
MVZ191579	North_Coast
MVZ191607	North_Coast
MVZ217992	North_Coast
MVZ219009	North_Coast
MVZ219014	North_Coast
MVZ219015	North_Coast
MVZ230716	North_Coast
MVZ231432	North_Coast
MVZ240012	North_Coast
MVZ240013	North_Coast
MVZ196598	Sierra_3
MVZ200477	Sierra_3
MVZ200647	Sierra_3
MVZ217509	Sierra_3
MVZ217516	Sierra_3
MVZ217517	Sierra_3
MVZ217872	Sierra_3
MVZ218037	Sierra_3
MVZ218549	Sierra_3
MVZ219775	Sierra_3
MVZ220148	Sierra_3
MVZ222746	Sierra_3
MVZ222749	Sierra_3
MVZ222751	Sierra_3
MVZ222752	Sierra_3
MVZ222753	Sierra_3
MVZ222756	Sierra_3
MVZ222758	Sierra_3
MVZ223020	Sierra_3
MVZ223022	Sierra_3
MVZ223023	Sierra_3
MVZ228426	Sierra_3
MVZ228428	Sierra_3
MVZ232186	Sierra_3
MVZ240272	North
MVZ240328	North
MVZ240329	North
MVZ240330	North
MVZ241349	North_Coast
MVZ222480	Sierra_1
MVZ222490	Sierra_1
MVZ223094	Sierra_1
MVZ223095	Sierra_1
MVZ224618	Sierra_1
MVZ199508	Sierra_2
MVZ199509	Sierra_2
MVZ199510	Sierra_2
MVZ199511	Sierra_2
MVZ201003	Sierra_2
MVZ201307	Sierra_1
MVZ201308	Sierra_1
MVZ201309	Sierra_1
MVZ201312	Sierra_1
MVZ201314	Sierra_1
MVZ201318	Sierra_1
MVZ207124	Sierra_1
MVZ216205	Sierra_1
MVZ216215	Sierra_1
MVZ221740	Sierra_2
MVZ222747	Sierra_3
MVZ222750	Sierra_3
MVZ222754	Sierra_3
MVZ222755	Sierra_3
MVZ222757	Sierra_3
MVZ225827	Sierra_1
MVZ232185	Sierra_3
MVZ232188	Sierra_2
MVZ232189	Sierra_2
