Chain	Mean_log_likelihood	SD_log_likelihood	Min_trace_ESS
1	14326.9258148684	9.92936173954956	443.362570661091
2	14326.4283933114	9.35362735506297	467.774165897819
3	14327.1459882567	9.55651085119684	463.806004294818
4	14327.4319702914	9.22615715759481	477.498918726472
