Chain	Tuning_return_code	Tuning_runtime_hours	Production_return_code	Production_runtime_hours
1	0	1.33329333994124	0	13.552817121413
2	0	1.28990548915333	0	13.5521572941542
3	0	1.31983378171921	0	13.5212703452508
4	0	1.37623821026749	0	13.341853718294
