Chain	Parameter	ESS
1	LogPrior	599.975199658169
1	LogLikelihood	443.362570661091
2	LogPrior	583.742327993143
2	LogLikelihood	467.774165897819
3	LogPrior	658.814718785137
3	LogLikelihood	463.806004294818
4	LogPrior	635.451923964436
4	LogLikelihood	477.498918726472
