K	cv_mse_mean	cv_mse_sd
1	0.0769555074772097	9.00232529458447e-05
2	0.0550243710227616	0.000223581941471911
3	0.0473058860812543	0.000200922040095637
4	0.0408715379103027	0.00159165278133442
5	0.0351392760677226	0.000422171216178989
6	0.033602794165084	0.0026689275238942
7	0.0302316490284196	0.000622111754002153
8	0.0302110653573796	0.000721323357669941
