K	BIC	AvgSilhouette
1	949.868719833076	NA
2	924.16503946915	0.323731900651975
3	903.561658228608	0.389215071279246
4	886.03733920802	0.378925570914698
5	865.270899653331	0.455760612901767
6	841.279692678584	0.525152068784053
7	827.695378658329	0.559414455841607
8	824.980017615083	0.501148809212081
9	813.89088136471	0.543286625311101
10	810.13279394321	0.536066191604809
